family,model,ticker,horizon,seq_len,source,best_threshold,val_f1,val_precision,val_recall,val_auc,test_f1,test_precision,test_recall,test_auc,feature_set,run_dir
baseline,LogReg,GOOGL,,,cv_or_holdout,,,,,,,,,,Price-only,
baseline,LogReg,GOOGL,,,cv_or_holdout,,,,,,,,,,Price + Sentiment,
baseline,LogReg,MSFT,,,cv_or_holdout,,,,,,,,,,Price-only,
baseline,LogReg,MSFT,,,cv_or_holdout,,,,,,,,,,Price + Sentiment,
baseline,LogReg,MSFT,,,cv_or_holdout,,,,,,,,,,Price-only,
baseline,LogReg,MSFT,,,cv_or_holdout,,,,,,,,,,Price + Sentiment,
baseline,LogReg,TSLA,,,cv_or_holdout,,,,,,,,,,Price-only,
baseline,LogReg,TSLA,,,cv_or_holdout,,,,,,,,,,Price + Sentiment,
baseline,LogReg,GOOGL,,,cv_or_holdout,,,,,,,,,,Price-only,
baseline,LogReg,GOOGL,,,cv_or_holdout,,,,,,,,,,Price + Sentiment,
baseline,LogReg,MSFT,,,cv_or_holdout,,,,,,,,,,Price-only,
baseline,LogReg,MSFT,,,cv_or_holdout,,,,,,,,,,Price + Sentiment,
baseline,LogReg,MSFT,,,cv_or_holdout,,,,,,,,,,Price-only,
baseline,LogReg,MSFT,,,cv_or_holdout,,,,,,,,,,Price + Sentiment,
baseline,LogReg,MSFT,,,cv_or_holdout,,,,,,,,,,Price-only,
baseline,LogReg,MSFT,,,cv_or_holdout,,,,,,,,,,Price + Sentiment,
baseline,RandomForest,MSFT,,,cv_or_holdout,,,,,,,,,,Price-only,
baseline,RandomForest,MSFT,,,cv_or_holdout,,,,,,,,,,Price + Sentiment,
baseline,RandomForest,MSFT,,,cv_or_holdout,,,,,,,,,,Price-only (post2021-09-01),
baseline,RandomForest,MSFT,,,cv_or_holdout,,,,,,,,,,Price + Sentiment (post2021-09-01),
baseline,RandomForest,TSLA,,,cv_or_holdout,,,,,,,,,,Price-only (post2021-09-01),
baseline,RandomForest,TSLA,,,cv_or_holdout,,,,,,,,,,Price + Sentiment (post2021-09-01),
baseline,RandomForest,GOOGL,,,cv_or_holdout,,,,,,,,,,Price-only (post2021-09-01),
baseline,RandomForest,GOOGL,,,cv_or_holdout,,,,,,,,,,Price + Sentiment (post2021-09-01),
baseline,LogReg,MSFT,,,cv_or_holdout,,,,,,,,,,Price-only (post2021-09-01),
baseline,LogReg,MSFT,,,cv_or_holdout,,,,,,,,,,Price + Sentiment (post2021-09-01),
baseline,LogReg,MSFT,,,cv_or_holdout,,,,,,,,,,Price-only,
baseline,LogReg,MSFT,,,cv_or_holdout,,,,,,,,,,Price + Sentiment,
